design,method,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,true_discoveries,false_discoveries,delay
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314242,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314243,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314243,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314244,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314244,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314245,0.0,0.125,0.14285714285714285,0.875,2,2,0,494.5
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314245,0.0,0.125,0.14285714285714285,0.875,2,2,0,500.5
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314246,0.0,0.0625,0.07142857142857142,0.875,1,1,0,66.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314246,0.0,0.0625,0.07142857142857142,0.875,1,1,0,66.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314247,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314247,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314248,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314248,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314249,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314249,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314250,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314250,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314251,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314251,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314252,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314252,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314253,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314253,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314254,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314254,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314255,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314255,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314256,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314256,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314257,0.0,0.0625,0.07692307692307693,0.8125,1,1,0,809.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314257,0.0,0.0625,0.07692307692307693,0.8125,1,1,0,809.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314258,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314258,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314259,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,138.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314259,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,138.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314260,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314260,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314261,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314261,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314262,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314262,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314263,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314263,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314264,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314264,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314265,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314265,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314266,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314266,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314267,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314267,0.0,0.0,0.0,0.8125,0,0,0,
