design,method,seed,false_discoveries,any_false,first_day
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271997,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271998,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271998,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271999,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271999,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272000,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272000,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272001,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272001,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272002,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272002,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272003,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272003,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272004,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272004,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272005,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272005,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272006,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272006,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272007,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272007,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272008,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272008,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272009,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272009,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272010,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272010,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272011,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272011,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272012,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272012,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272013,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272013,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272014,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272014,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272015,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272015,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272016,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272016,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,272017,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),272017,0,0,-1
