design,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,52001029,6-10,5,4
telescoping-fixed,52001029,11-20,6,4
telescoping-fixed,52001029,21-35,0,0
telescoping-fixed,52001029,36-50,0,0
campaign75-fixed-daily,52001029,1-5,5,5
campaign75-fixed-daily,52001029,6-10,5,4
campaign75-fixed-daily,52001029,11-20,6,6
campaign75-fixed-daily,52001029,21-35,0,0
campaign75-fixed-daily,52001029,36-50,0,0
campaign75-geometric-daily,52001029,1-5,5,5
campaign75-geometric-daily,52001029,6-10,5,4
campaign75-geometric-daily,52001029,11-20,6,6
campaign75-geometric-daily,52001029,21-35,0,0
campaign75-geometric-daily,52001029,36-50,0,0
telescoping-fixed,52001030,1-5,5,5
telescoping-fixed,52001030,6-10,5,5
telescoping-fixed,52001030,11-20,4,4
telescoping-fixed,52001030,21-35,2,0
telescoping-fixed,52001030,36-50,0,0
campaign75-fixed-daily,52001030,1-5,5,5
campaign75-fixed-daily,52001030,6-10,5,5
campaign75-fixed-daily,52001030,11-20,4,4
campaign75-fixed-daily,52001030,21-35,2,0
campaign75-fixed-daily,52001030,36-50,0,0
campaign75-geometric-daily,52001030,1-5,5,5
campaign75-geometric-daily,52001030,6-10,5,5
campaign75-geometric-daily,52001030,11-20,4,4
campaign75-geometric-daily,52001030,21-35,2,1
campaign75-geometric-daily,52001030,36-50,0,0
telescoping-fixed,52001031,1-5,5,5
telescoping-fixed,52001031,6-10,5,3
telescoping-fixed,52001031,11-20,6,3
telescoping-fixed,52001031,21-35,0,0
telescoping-fixed,52001031,36-50,0,0
campaign75-fixed-daily,52001031,1-5,5,4
campaign75-fixed-daily,52001031,6-10,5,4
campaign75-fixed-daily,52001031,11-20,6,5
campaign75-fixed-daily,52001031,21-35,0,0
campaign75-fixed-daily,52001031,36-50,0,0
campaign75-geometric-daily,52001031,1-5,5,4
campaign75-geometric-daily,52001031,6-10,5,4
campaign75-geometric-daily,52001031,11-20,6,5
campaign75-geometric-daily,52001031,21-35,0,0
campaign75-geometric-daily,52001031,36-50,0,0
telescoping-fixed,52001032,1-5,5,5
telescoping-fixed,52001032,6-10,4,3
telescoping-fixed,52001032,11-20,7,1
telescoping-fixed,52001032,21-35,0,0
telescoping-fixed,52001032,36-50,0,0
campaign75-fixed-daily,52001032,1-5,5,5
campaign75-fixed-daily,52001032,6-10,4,4
campaign75-fixed-daily,52001032,11-20,7,3
campaign75-fixed-daily,52001032,21-35,0,0
campaign75-fixed-daily,52001032,36-50,0,0
campaign75-geometric-daily,52001032,1-5,5,5
campaign75-geometric-daily,52001032,6-10,4,4
campaign75-geometric-daily,52001032,11-20,7,5
campaign75-geometric-daily,52001032,21-35,0,0
campaign75-geometric-daily,52001032,36-50,0,0
telescoping-fixed,52001033,1-5,5,5
telescoping-fixed,52001033,6-10,5,5
telescoping-fixed,52001033,11-20,5,3
telescoping-fixed,52001033,21-35,1,1
telescoping-fixed,52001033,36-50,0,0
campaign75-fixed-daily,52001033,1-5,5,5
campaign75-fixed-daily,52001033,6-10,5,5
campaign75-fixed-daily,52001033,11-20,5,4
campaign75-fixed-daily,52001033,21-35,1,1
campaign75-fixed-daily,52001033,36-50,0,0
campaign75-geometric-daily,52001033,1-5,5,5
campaign75-geometric-daily,52001033,6-10,5,5
campaign75-geometric-daily,52001033,11-20,5,4
campaign75-geometric-daily,52001033,21-35,1,1
campaign75-geometric-daily,52001033,36-50,0,0
telescoping-fixed,52001034,1-5,4,4
telescoping-fixed,52001034,6-10,5,5
telescoping-fixed,52001034,11-20,5,3
telescoping-fixed,52001034,21-35,2,0
telescoping-fixed,52001034,36-50,0,0
campaign75-fixed-daily,52001034,1-5,4,4
campaign75-fixed-daily,52001034,6-10,5,5
campaign75-fixed-daily,52001034,11-20,5,3
campaign75-fixed-daily,52001034,21-35,2,2
campaign75-fixed-daily,52001034,36-50,0,0
campaign75-geometric-daily,52001034,1-5,4,4
campaign75-geometric-daily,52001034,6-10,5,5
campaign75-geometric-daily,52001034,11-20,5,5
campaign75-geometric-daily,52001034,21-35,2,2
campaign75-geometric-daily,52001034,36-50,0,0
telescoping-fixed,52001035,1-5,5,0
telescoping-fixed,52001035,6-10,5,0
telescoping-fixed,52001035,11-20,6,0
telescoping-fixed,52001035,21-35,0,0
telescoping-fixed,52001035,36-50,0,0
campaign75-fixed-daily,52001035,1-5,5,0
campaign75-fixed-daily,52001035,6-10,5,0
campaign75-fixed-daily,52001035,11-20,6,0
campaign75-fixed-daily,52001035,21-35,0,0
campaign75-fixed-daily,52001035,36-50,0,0
campaign75-geometric-daily,52001035,1-5,5,0
