annual_sharpe,correlation,seed,seed_source,proposal_recall,method,fdp,conditional_power,end_to_end_power,discoveries,delay_days
0.5,0,314275,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314276,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,306
0.5,0,314276,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314277,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314277,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314278,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314278,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314279,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314279,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314280,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314280,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314281,archived_314159_anchor,0.625,SAFE-ALPHA,0,0,0,0,
0.5,0,314281,archived_314159_anchor,0.625,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314282,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314282,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314283,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,156
0.5,0,314283,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314284,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314284,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314285,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314285,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314286,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314286,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314287,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314287,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314288,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314288,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314289,archived_314159_anchor,1,SAFE-ALPHA,0,0.0625,0.0625,1,261
0.5,0,314289,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314290,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314290,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314291,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314291,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314292,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
