q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.125,Matched terminal weighted e-BH,0,0.5,8,1195.25,315925
0.15,SAFE-ALPHA,0,0.625,10,572.5,315925
0.15,Matched terminal weighted e-BH,0,0.5625,9,1189,315925
0.175,SAFE-ALPHA,0,0.625,10,526.5,315925
0.175,Matched terminal weighted e-BH,0,0.5625,9,1189,315925
0.2,SAFE-ALPHA,0,0.6875,11,500.545454545,315925
0.2,Matched terminal weighted e-BH,0,0.5625,9,1189,315925
0.01,SAFE-ALPHA,0,0,0,,315926
0.01,Matched terminal weighted e-BH,0,0,0,,315926
0.025,SAFE-ALPHA,0,0,0,,315926
0.025,Matched terminal weighted e-BH,0,0,0,,315926
0.05,SAFE-ALPHA,0,0,0,,315926
0.05,Matched terminal weighted e-BH,0,0,0,,315926
0.075,SAFE-ALPHA,0,0,0,,315926
0.075,Matched terminal weighted e-BH,0,0,0,,315926
0.1,SAFE-ALPHA,0,0,0,,315926
0.1,Matched terminal weighted e-BH,0,0,0,,315926
0.125,SAFE-ALPHA,0,0,0,,315926
0.125,Matched terminal weighted e-BH,0,0,0,,315926
0.15,SAFE-ALPHA,0,0,0,,315926
0.15,Matched terminal weighted e-BH,0,0,0,,315926
0.175,SAFE-ALPHA,0,0,0,,315926
0.175,Matched terminal weighted e-BH,0,0,0,,315926
0.2,SAFE-ALPHA,0,0,0,,315926
0.2,Matched terminal weighted e-BH,0,0,0,,315926
0.01,SAFE-ALPHA,0,0.6875,11,936.909090909,315927
0.01,Matched terminal weighted e-BH,0,0.25,4,1180.25,315927
0.025,SAFE-ALPHA,0,0.75,12,806,315927
0.025,Matched terminal weighted e-BH,0,0.6875,11,1169,315927
0.05,SAFE-ALPHA,0,0.75,12,760.583333333,315927
0.05,Matched terminal weighted e-BH,0,0.6875,11,1169,315927
0.075,SAFE-ALPHA,0,0.8125,13,748.692307692,315927
0.075,Matched terminal weighted e-BH,0,0.6875,11,1169,315927
0.1,SAFE-ALPHA,0,0.8125,13,717.538461538,315927
0.1,Matched terminal weighted e-BH,0,0.75,12,1176.5,315927
0.125,SAFE-ALPHA,0,0.8125,13,657.153846154,315927
0.125,Matched terminal weighted e-BH,0,0.8125,13,1167.84615385,315927
0.15,SAFE-ALPHA,0,0.875,14,673.142857143,315927
0.15,Matched terminal weighted e-BH,0,0.8125,13,1167.84615385,315927
0.175,SAFE-ALPHA,0,0.875,14,653.5,315927
0.175,Matched terminal weighted e-BH,0,0.875,14,1157.21428571,315927
0.2,SAFE-ALPHA,0,0.9375,15,663.333333333,315927
0.2,Matched terminal weighted e-BH,0,0.9375,15,1152,315927
0.01,SAFE-ALPHA,0,0.75,12,732.25,315928
0.01,Matched terminal weighted e-BH,0,0.6875,11,1175.81818182,315928
0.025,SAFE-ALPHA,0,0.875,14,685.285714286,315928
0.025,Matched terminal weighted e-BH,0,0.8125,13,1156.30769231,315928
0.05,SAFE-ALPHA,0,0.875,14,640.642857143,315928
0.05,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.075,SAFE-ALPHA,0,0.875,14,602.785714286,315928
0.075,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.1,SAFE-ALPHA,0,0.875,14,556,315928
0.1,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.125,SAFE-ALPHA,0,0.875,14,529.214285714,315928
0.125,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.15,SAFE-ALPHA,0,0.875,14,495.642857143,315928
