design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
telescoping-fixed,1.0,0.5,41000037,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000037,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000037,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000037,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000038,0.0,0.0625,0.0625,1.0,1,606.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000038,0.0,0.0625,0.0625,1.0,1,851.0,0.0,0.0
campaign-fixed,1.0,0.5,41000038,0.0,0.0625,0.0625,1.0,1,846.0,0.0,0.0
campaign-hedged,1.0,0.5,41000038,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000039,0.0,0.125,0.13333333333333333,0.9375,2,803.5,0.0,0.0625
telescoping-hedged,1.0,0.5,41000039,0.0,0.0625,0.06666666666666667,0.9375,1,946.0,0.0,0.0625
campaign-fixed,1.0,0.5,41000039,0.0,0.0625,0.06666666666666667,0.9375,1,831.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000039,0.0,0.0625,0.06666666666666667,0.9375,1,991.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000040,0.0,0.5,0.5,1.0,8,734.75,0.0,0.375
telescoping-hedged,1.0,0.5,41000040,0.0,0.5,0.5,1.0,8,788.5,0.0,0.4375
campaign-fixed,1.0,0.5,41000040,0.0,0.625,0.625,1.0,10,760.0,0.0,0.375
campaign-hedged,1.0,0.5,41000040,0.0,0.5,0.5,1.0,8,847.25,0.0,0.4375
telescoping-fixed,1.0,0.5,41000041,0.0,0.1875,0.1875,1.0,3,1002.6666666666666,0.0,0.1875
telescoping-hedged,1.0,0.5,41000041,0.0,0.125,0.125,1.0,2,1161.0,0.0,0.125
campaign-fixed,1.0,0.5,41000041,0.0,0.1875,0.1875,1.0,3,1111.0,0.0,0.1875
campaign-hedged,1.0,0.5,41000041,0.0,0.0625,0.0625,1.0,1,1251.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000042,0.0,0.3125,0.3125,1.0,5,1017.0,0.0,0.25
telescoping-hedged,1.0,0.5,41000042,0.0,0.25,0.25,1.0,4,1074.25,0.0,0.25
campaign-fixed,1.0,0.5,41000042,0.0,0.25,0.25,1.0,4,962.25,0.0,0.0625
campaign-hedged,1.0,0.5,41000042,0.0,0.25,0.25,1.0,4,989.75,0.0,0.125
telescoping-fixed,1.0,0.5,41000043,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000043,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000043,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000043,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000044,0.0,0.125,0.13333333333333333,0.9375,2,1116.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000044,0.0,0.125,0.13333333333333333,0.9375,2,1146.0,0.0,0.125
campaign-fixed,1.0,0.5,41000044,0.0,0.125,0.13333333333333333,0.9375,2,1161.0,0.0,0.125
campaign-hedged,1.0,0.5,41000044,0.0,0.125,0.13333333333333333,0.9375,2,1173.5,0.0,0.125
telescoping-fixed,1.0,0.5,41000045,0.0,0.125,0.125,1.0,2,953.5,0.0,0.125
telescoping-hedged,1.0,0.5,41000045,0.0,0.125,0.125,1.0,2,1008.5,0.0,0.125
campaign-fixed,1.0,0.5,41000045,0.0,0.125,0.125,1.0,2,1048.5,0.0,0.125
campaign-hedged,1.0,0.5,41000045,0.0,0.125,0.125,1.0,2,1108.5,0.0,0.125
telescoping-fixed,1.0,0.5,41000046,0.0,0.3125,0.3125,1.0,5,573.0,0.0,0.25
telescoping-hedged,1.0,0.5,41000046,0.0,0.3125,0.3125,1.0,5,860.0,0.0,0.25
campaign-fixed,1.0,0.5,41000046,0.0,0.4375,0.4375,1.0,7,786.0,0.0,0.375
campaign-hedged,1.0,0.5,41000046,0.0,0.3125,0.3125,1.0,5,871.0,0.0,0.25
telescoping-fixed,1.0,0.5,41000047,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000047,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000047,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000047,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000048,0.0,0.375,0.375,1.0,6,813.5,0.0,0.0
telescoping-hedged,1.0,0.5,41000048,0.0,0.3125,0.3125,1.0,5,926.0,0.0,0.0
campaign-fixed,1.0,0.5,41000048,0.0,0.4375,0.4375,1.0,7,869.5714285714286,0.0,0.0
campaign-hedged,1.0,0.5,41000048,0.0,0.1875,0.1875,1.0,3,889.3333333333334,0.0,0.0
telescoping-fixed,1.0,0.5,41000049,0.0,0.25,0.26666666666666666,0.9375,4,898.5,0.0,0.1875
telescoping-hedged,1.0,0.5,41000049,0.0,0.1875,0.2,0.9375,3,996.0,0.0,0.1875
campaign-fixed,1.0,0.5,41000049,0.0,0.25,0.26666666666666666,0.9375,4,988.5,0.0,0.1875
campaign-hedged,1.0,0.5,41000049,0.0,0.1875,0.2,0.9375,3,1056.0,0.0,0.1875
telescoping-fixed,1.0,0.5,41000050,0.0,0.0625,0.0625,1.0,1,1151.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000050,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000050,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000050,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000051,0.0,0.875,0.875,1.0,14,686.3571428571429,0.0,0.4375
telescoping-hedged,1.0,0.5,41000051,0.0,0.5625,0.5625,1.0,9,756.0,0.0,0.3125
campaign-fixed,1.0,0.5,41000051,0.0,0.8125,0.8125,1.0,13,675.6153846153846,0.0,0.5625
campaign-hedged,1.0,0.5,41000051,0.0,0.8125,0.8125,1.0,13,756.7692307692307,0.0,0.4375
telescoping-fixed,1.0,0.5,41000052,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000052,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000052,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000052,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000053,0.0,0.0625,0.0625,1.0,1,706.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000053,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000053,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000053,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000054,0.0,0.3125,0.3125,1.0,5,499.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000054,0.0,0.125,0.125,1.0,2,586.0,0.0,0.125
campaign-fixed,1.0,0.5,41000054,0.0,0.1875,0.1875,1.0,3,616.0,0.0,0.0
campaign-hedged,1.0,0.5,41000054,0.0,0.125,0.125,1.0,2,611.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000055,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000055,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000055,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000055,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000056,0.0,0.4375,0.4375,1.0,7,489.57142857142856,0.0,0.3125
telescoping-hedged,1.0,0.5,41000056,0.0,0.4375,0.4375,1.0,7,595.2857142857143,0.0,0.25
campaign-fixed,1.0,0.5,41000056,0.0,0.5625,0.5625,1.0,9,582.6666666666666,0.0,0.3125
campaign-hedged,1.0,0.5,41000056,0.0,0.4375,0.4375,1.0,7,663.1428571428571,0.0,0.25
telescoping-fixed,1.0,0.5,41000057,0.0,0.0625,0.0625,1.0,1,1161.0,0.0,0.0625
telescoping-hedged,1.0,0.5,41000057,0.0,0.125,0.125,1.0,2,1203.5,0.0,0.125
campaign-fixed,1.0,0.5,41000057,0.0,0.0625,0.0625,1.0,1,1161.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000057,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000058,0.0,0.125,0.125,1.0,2,168.5,0.0,0.125
telescoping-hedged,1.0,0.5,41000058,0.0,0.125,0.125,1.0,2,258.5,0.0,0.125
campaign-fixed,1.0,0.5,41000058,0.0,0.125,0.125,1.0,2,258.5,0.0,0.0
campaign-hedged,1.0,0.5,41000058,0.0,0.125,0.125,1.0,2,781.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000059,0.0,0.3125,0.3125,1.0,5,1147.0,0.0,0.0625
telescoping-hedged,1.0,0.5,41000059,0.0,0.1875,0.1875,1.0,3,1124.3333333333333,0.0,0.125
campaign-fixed,1.0,0.5,41000059,0.0,0.125,0.125,1.0,2,1116.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000059,0.0,0.125,0.125,1.0,2,1161.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000060,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000060,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000060,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000060,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000061,0.0,0.125,0.125,1.0,2,1203.5,0.0,0.0625
telescoping-hedged,1.0,0.5,41000061,0.0,0.125,0.125,1.0,2,1213.5,0.0,0.0625
campaign-fixed,1.0,0.5,41000061,0.0,0.0625,0.0625,1.0,1,1226.0,0.0,0.0
campaign-hedged,1.0,0.5,41000061,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000062,0.0,0.125,0.125,1.0,2,761.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000062,0.0,0.125,0.125,1.0,2,1111.0,0.0,0.125
campaign-fixed,1.0,0.5,41000062,0.0,0.125,0.125,1.0,2,1116.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000062,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000063,0.0,0.5,0.5,1.0,8,844.75,0.0,0.3125
telescoping-hedged,1.0,0.5,41000063,0.0,0.25,0.25,1.0,4,774.75,0.0,0.25
campaign-fixed,1.0,0.5,41000063,0.0,0.6875,0.6875,1.0,11,813.2727272727273,0.0,0.625
campaign-hedged,1.0,0.5,41000063,0.0,0.4375,0.4375,1.0,7,851.0,0.0,0.25
telescoping-fixed,1.0,0.5,41000064,0.0,0.0625,0.0625,1.0,1,131.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000064,0.0,0.0625,0.0625,1.0,1,206.0,0.0,0.0
