design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
campaign75-fixed-daily,1.5,0.5,315940,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315940,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315940,36-50,0,0
telescoping-fixed,1.5,0.5,315941,1-5,5,0
telescoping-fixed,1.5,0.5,315941,6-10,5,0
telescoping-fixed,1.5,0.5,315941,11-20,6,0
telescoping-fixed,1.5,0.5,315941,21-35,0,0
telescoping-fixed,1.5,0.5,315941,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315941,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315941,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315941,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315941,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315941,36-50,0,0
telescoping-fixed,1.5,0.5,315942,1-5,5,2
telescoping-fixed,1.5,0.5,315942,6-10,5,3
telescoping-fixed,1.5,0.5,315942,11-20,6,0
telescoping-fixed,1.5,0.5,315942,21-35,0,0
telescoping-fixed,1.5,0.5,315942,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315942,1-5,5,2
campaign75-fixed-daily,1.5,0.5,315942,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315942,11-20,6,1
campaign75-fixed-daily,1.5,0.5,315942,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315942,36-50,0,0
telescoping-fixed,1.5,0.5,315943,1-5,5,5
telescoping-fixed,1.5,0.5,315943,6-10,5,5
telescoping-fixed,1.5,0.5,315943,11-20,5,4
telescoping-fixed,1.5,0.5,315943,21-35,1,0
telescoping-fixed,1.5,0.5,315943,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315943,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315943,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315943,11-20,5,5
campaign75-fixed-daily,1.5,0.5,315943,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315943,36-50,0,0
telescoping-fixed,1.5,0.5,315944,1-5,5,5
telescoping-fixed,1.5,0.5,315944,6-10,5,5
telescoping-fixed,1.5,0.5,315944,11-20,6,6
telescoping-fixed,1.5,0.5,315944,21-35,0,0
telescoping-fixed,1.5,0.5,315944,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315944,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315944,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315944,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315944,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315944,36-50,0,0
telescoping-fixed,1.5,0.5,315945,1-5,5,5
telescoping-fixed,1.5,0.5,315945,6-10,5,3
telescoping-fixed,1.5,0.5,315945,11-20,6,2
telescoping-fixed,1.5,0.5,315945,21-35,0,0
telescoping-fixed,1.5,0.5,315945,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315945,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315945,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315945,11-20,6,3
campaign75-fixed-daily,1.5,0.5,315945,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315945,36-50,0,0
telescoping-fixed,1.5,0.5,315946,1-5,4,2
telescoping-fixed,1.5,0.5,315946,6-10,5,4
telescoping-fixed,1.5,0.5,315946,11-20,6,0
telescoping-fixed,1.5,0.5,315946,21-35,1,0
telescoping-fixed,1.5,0.5,315946,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315946,1-5,4,2
campaign75-fixed-daily,1.5,0.5,315946,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315946,11-20,6,1
campaign75-fixed-daily,1.5,0.5,315946,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315946,36-50,0,0
telescoping-fixed,1.5,0.5,315947,1-5,5,5
telescoping-fixed,1.5,0.5,315947,6-10,5,2
telescoping-fixed,1.5,0.5,315947,11-20,5,1
telescoping-fixed,1.5,0.5,315947,21-35,1,0
telescoping-fixed,1.5,0.5,315947,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315947,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315947,6-10,5,2
campaign75-fixed-daily,1.5,0.5,315947,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315947,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315947,36-50,0,0
telescoping-fixed,1.5,0.5,315948,1-5,5,1
telescoping-fixed,1.5,0.5,315948,6-10,5,0
telescoping-fixed,1.5,0.5,315948,11-20,5,0
telescoping-fixed,1.5,0.5,315948,21-35,1,0
telescoping-fixed,1.5,0.5,315948,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315948,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315948,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315948,11-20,5,0
campaign75-fixed-daily,1.5,0.5,315948,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315948,36-50,0,0
telescoping-fixed,1.5,0.5,315949,1-5,5,5
telescoping-fixed,1.5,0.5,315949,6-10,5,5
telescoping-fixed,1.5,0.5,315949,11-20,4,2
telescoping-fixed,1.5,0.5,315949,21-35,2,0
telescoping-fixed,1.5,0.5,315949,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315949,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315949,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315949,11-20,4,3
campaign75-fixed-daily,1.5,0.5,315949,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315949,36-50,0,0
telescoping-fixed,1.5,0.5,315950,1-5,5,3
telescoping-fixed,1.5,0.5,315950,6-10,5,4
telescoping-fixed,1.5,0.5,315950,11-20,5,1
telescoping-fixed,1.5,0.5,315950,21-35,1,0
telescoping-fixed,1.5,0.5,315950,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315950,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315950,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315950,11-20,5,3
campaign75-fixed-daily,1.5,0.5,315950,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315950,36-50,0,0
