design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
campaign50-fixed,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,992.25,0.0,0.0625
campaign75-fixed,1.0,0.5,41000027,0.0,0.125,0.125,1.0,2,996.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000027,0.0,0.1875,0.1875,1.0,3,1107.6666666666667,0.0,0.0625
anchored25-fixed,1.0,0.5,41000027,0.0,0.25,0.25,1.0,4,976.0,0.0,0.0625
anchored50-fixed,1.0,0.5,41000027,0.0,0.1875,0.1875,1.0,3,976.0,0.0,0.0625
anchored75-fixed,1.0,0.5,41000027,0.0,0.125,0.125,1.0,2,996.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000028,0.0,0.4375,0.4375,1.0,7,816.0,0.0,0.4375
telescoping-hedged,1.0,0.5,41000028,0.0,0.3125,0.3125,1.0,5,793.0,0.0,0.3125
campaign25-fixed,1.0,0.5,41000028,0.0,0.4375,0.4375,1.0,7,826.7142857142857,0.0,0.4375
campaign50-fixed,1.0,0.5,41000028,0.0,0.5,0.5,1.0,8,846.0,0.0,0.4375
campaign75-fixed,1.0,0.5,41000028,0.0,0.5,0.5,1.0,8,850.375,0.0,0.5
